Property Address,Property Name,PropertyType,Building Status,Submarket Cluster,Submarket Name,City,State,Zip,County Name,Year Built,Number Of Stories,Year Renovated,Number Of Parking Spaces,Parking Ratio,RBA,Max Building Contiguous Space,Smallest Available Space,Total Available Space (SF),Direct Available Space,Direct Vacant Space,Sublet Available Space,Average Weighted Rent,Percent Leased,Office Space,Building Tax Expenses,Building Operating Expenses,Sublet Services,Direct Services,Leasing Company Name,Leasing Company City State Zip,Leasing Company Phone,Leasing Company Fax,Primary Agent Name,Property Manager Name,Developer Name,Owner Name,Features,Power,Ceiling Ht,Number Of Loading Docks,Drive Ins,Column Spacing,Sprinklers,Number Of Cranes,Construction Material,Rail Lines,Heating,Sewer,Water,Gas,PropertyID,Avg Rent-Direct (Industrial),Avg Rent-Sublet (Industrial),Building Park,Land Area (AC),Latitude,Longitude,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Phone,Recorded Owner Address,Recorded Owner City State Zip,Recorded Owner Contact,Recorded Owner Name,Recorded Owner Phone,Rent Type,Rent/SF/Yr,Sale Company Address,Sale Company City State Zip,Sale Company Contact,Sale Company Fax,Sale Company Name,Sale Company Phone,Sales Company,Sales Contact,Sales Contact Phone,True Owner Address,True Owner City State Zip,True Owner Contact,True Owner Name,True Owner Phone,Zoning,Anchor Tenants,Building Class,Fema Flood Zone,Flood Risk Area,Floodplain Area,For Sale Price,Fund Name,Last Sale Date,Last Sale Price,Leasing Company Address,Leasing Company Contact,Star Rating,Tax Year,Taxes Per SF,Taxes Total,Tenancy,Total Buildings
7445 Daron Ct,,Flex,Existing,Union County,Union County,Plain City,OH,43064-8962,Union,2020,1,,24,1.67,14350,,,,,0,,-,100,,2021 Tax @ $0.42/sf,2021 Tax @ $0.42/sf,,,J&L Equities,"Plain City, OH 43064-8962",6149713448,,John Hardesty,,,J&L Equities,"24 Hour Access, Storage Space, Monument Signage",200a 3p,"18'0""",,"4/14'0""w x 14'0""h",26'w x 70'd,,,,,,,,,11324392,,,,1.22,40.1184496,-83.1894215,7455 Daron Ct,"Plain City, OH 43064-8962",John Hardesty,6142061807,,,,,7445 Daron Ct,"Plain City, OH 43064-8962",,7445 Daron Ct Ltd,,,$9.86 - 12.05 (Est.),,,,,,,,,,7455 Daron Ct,"Plain City, OH 43064-8962",John Hardesty,J&L Equities,6142061807,Commercial,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,7455 Daron Ct,John Hardesty,3,2021,0.42,6003.94,,
65 Dayton Rd,,Industrial,Existing,Licking County,Licking County,Newark,OH,43055,Licking,,1,,20,1.4,14146,,,,,0,,-,100,,,,,,Wyeth Scott Company,"Newark, OH 43055-8814",7403454528,,Amy Kent,,,Beauterre Holdings Inc,,,,,"16/9'0""w x 12'0""h",,,,Masonry,,,,,,7086811,,,,4.11,40.0645385,-82.3595031,,,,,,,,,,,,Beauterre Holdings Inc,,,$4.98 - 6.09 (Est.),,,,,,,,,,,,,,,,,C,Areas with a 1% annual chance of flooding and a 26% chance of flooding over the life of a 30-year mortgage.,High Risk Areas,100-year Floodplain,,,,,85 Dayton Rd NE,Amy Kent,1,,,,Multi,
915 Distribution Dr,,Industrial,Existing,Northwest,Downtown West,Columbus,OH,43228-1009,Franklin,1975,1,,30,0.08,16000,,,,,0,,-,100,,2021 Tax @ $0.72/sf,2021 Tax @ $0.72/sf,,,Paul E Pardi Builders,"Columbus, OH 43220    ",6144513798,,Paul Pardi,,,Blade Manufacturing Co,,400a 3p,"16'0""",6,"1/10'0""w x 12'0""h",,,,Masonry,,Gas,City,City,,495402,,,,0.92,39.972421,-83.108925,915 Distribution Dr,"Columbus, OH 43228-1009",Marc Callahan,6142941649,,,,,915 Distribution Dr,"Columbus, OH 43228-1009",,Dkcm Properties Llc,,,$6.87 - 8.39 (Est.),,,,,,,,,,915 Distribution Dr,"Columbus, OH 43228-1009",Marc Callahan,Blade Manufacturing Co,6142941649,M,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,11/3/22 0:00,875000,4050 Lyon Dr,Paul Pardi,2,2021,0.72,11506.06,Multi,1
1850 Dividend Dr,,Industrial,Existing,Northwest,Hilliard,Columbus,OH,43228,Franklin,2005,1,,68,4.95,13750,,,,,0,,-,100,2800,2021 Tax @ $2.26/sf,2021 Tax @ $2.26/sf,,,,,,,,,,Campbell Restoration,Fenced Lot,120-208v 3p,,,"5/9'0""w x 14'0""h",,,,,,,,,,7637825,,,,2.16,39.9914531,-83.1207435,7417-7433 Hill Rd,"Canal Winchester, OH 43110    ",Michael Campbell,6148331943,,,,,5321 Corporate Blvd,"Baton Rouge, LA 70808-2506",,Jamz Realty Llc,,,$7.52 - 9.19 (Est.),,,,,,,,,,7417-7433 Hill Rd,"Canal Winchester, OH 43110    ",Michael Campbell,Campbell Restoration,6148331943,M2,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,8/8/18 0:00,1100000,,,2,2021,2.26,31056.94,Single,
2809 Drake Rd,,Industrial,Existing,Northeast,N Central Columbus,Columbus,OH,43219,Franklin,1918,1,,18,1.35,13382,,,,,0,,-,100,,2021 Tax @ $0.58/sf,2021 Tax @ $0.58/sf,,,,,,,,,,Marnie A Brannon,,,,,"2/12'0""w x 14'0""h",,,,Metal,,,,,,9102975,,,,2,40.00613,-82.920891,,,,,,,,,,,,Marnie A Brannon,,,$6.04 - 7.38 (Est.),,,,,,,,,,,,,,,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,2/2/21 0:00,445000,,,2,2021,0.58,7774.58,Single,
437 Dunlap St,,Industrial,Existing,Delaware County,Delaware County,Delaware,OH,43015-3279,Delaware,,1,,8,,13000,,,,,0,,-,100,,2021 Tax @ $2.57/sf,2021 Tax @ $2.57/sf,,,,,,,,,,Larry A Garrett,,,"16'0""",1,"2/9'0""w x 14'0""h",,,,Metal,,,,,,744992,,,,2.659986,40.297549,-83.085034,4800 State Route 42,"Mason, OH 45040-1944",Larry Garrett,5133935671,,,,,435 Dunlap St,"Delaware, OH 43015-2486",,435 Dunlap Properties Llc,,,$7.32 - 8.01 (Est.),,,,,,,,,,4800 State Route 42,"Mason, OH 45040-1944",Larry Garrett,Larry A Garrett,5133935671,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,2/8/19 0:00,,,,2,2021,2.57,33345.86,Multi,
627 Eastgate Pkwy,,Flex,Existing,Northeast,Airport,Gahanna,OH,43230-8605,Franklin,2020,1,,,,13643,,,,,0,,-,100,,,,,Full Service Gross,LeVeck Commercial Real Estate,"Columbus, OH 43212-2872",6145824765,,Robert LeVeck,,LeVeck Commercial Real Estate,LeVeck Commercial Real Estate,,,,,,,,,,,,,,,11259981,,,Eastgate Commercial Park,7.6,39.9993581,-82.8205407,1500 W 3rd Ave Suite # 120,"Columbus, OH 43212-2872",Robert LeVeck,6145824765,,,,,,,,Junkermann Ruth E,,,$10.86 - 13.27 (Est.),,,,,,,,,,1500 W 3rd Ave Suite # 120,"Columbus, OH 43212-2872",Robert LeVeck,LeVeck Commercial Real Estate,6145824765,,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,1500 W 3rd Ave Suite # 120,Robert LeVeck,3,,,,,
659-667 Eastgate Pky,,Flex,Existing,Northeast,Airport,Gahanna,OH,43230-8605,Franklin,2020,,,,,15000,,,,,0,,-,100,,2021 Tax @ $0.04/sf,2021 Tax @ $0.04/sf,,,LeVeck Commercial Real Estate,"Columbus, OH 43212-2872",6145824765,,Robert LeVeck,,LeVeck Commercial Real Estate,LeVeck Commercial Real Estate,,,,,,,,,,,,,,,11259949,,,Eastgate Commercial Park,7.6,39.9989111,-82.8205968,1500 W 3rd Ave Suite # 120,"Columbus, OH 43212-2872",Robert LeVeck,6145824765,,,,,,,,Junkermann Ruth E,,,$7.34 - 8.87 (Est.),,,,,,,,,,1500 W 3rd Ave Suite # 120,"Columbus, OH 43212-2872",Robert LeVeck,LeVeck Commercial Real Estate,6145824765,,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,1500 W 3rd Ave Suite # 120,Robert LeVeck,3,2021,0.04,636.3,,
1655-1675 Eastgate Pky,,Industrial,Existing,Northeast,Airport,Gahanna,OH,43230,Franklin,2009,1,,24,1.56,15400,,,,,0,,-,100,,,,,,,,,,,,,,Fenced Lot,,"22'0""",,"1/12'0""w x 14'0""h",42'w x 50'd,,,,,,,,,7982841,,,,,39.9947289,-82.8241243,,,,,,,,,,,,,,,$6.96 - 8.51 (Est.),,,,,,,,,,,,,,,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,2,,,,Multi,
5207-5209 Ebright Rd,,Industrial,Existing,Southeast,I-70 East Corridor,Canal Winchester,OH,43110,Franklin,2004,1,,24,1.85,13000,,,,,0,,-,100,,2021 Tax @ $2.92/sf,2021 Tax @ $2.92/sf,,,RZ Realty,"Columbus, OH 43212-1643",6144867070,,Jay Zollars,,,"Aspen Property Management and Brokerage, LLC",Fenced Lot,200a,"20'0""",,"2/8'0""w x 10'0""h",,,,Metal,,,,,,6551490,,,,9.65,39.879515,-82.865183,910 N Shadeland Ave Suite # 1,"Indianapolis, IN 46219-4810",William Schmadeke,3173529147,,,,,910 N Shadeland Ave,"Indianapolis, IN 46219-4810",,Ameri-stor Canal Winchester Ll,3173356000,,$6.62 - 8.09 (Est.),,,,,,,,,,910 N Shadeland Ave Suite # 1,"Indianapolis, IN 46219-4810",William Schmadeke,"Aspen Property Management and Brokerage, LLC",3173529147,,,C,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,100-year Floodplain,,,4/15/15 0:00,1200000,1820 Northwest Blvd Suite # 200,Jay Zollars,2,2021,2.92,37971.92,Multi,
5221 Ebright Rd,,Flex,Existing,Southeast,I-70 East Corridor,Canal Winchester,OH,43110-9721,Franklin,1983,2,,,,15000,,,,,0,,-,100,,2021 Tax @ $0.51/sf,2021 Tax @ $0.51/sf,,,Bob Ward Rentals,"Canal Winchester, OH 43110    ",6148369159,,Diana Ward Bright,,,Bayview Asset Management,,,"14'0""",,,,None,,Wood Frame,,,,,,743024,,,,2.82,39.8790102,-82.8655183,4425 Ponce de Leon Blvd Suite # 500,"Coral Gables, FL 33146-1837",,3058548880,,,,,4425 PONCE DE LEON BLVD Blvd Suite # 500,"Coral Gables, FL 33146",,Bayview Loan Servicing LLC,3056464144,,$3.80 - 4.64 (Est.),,,,,,,,,,4425 Ponce de Leon Blvd Suite # 500,"Coral Gables, FL 33146-1837",,Bayview Asset Management,3058548880,Commercial,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,3/30/06 0:00,300000,5141 Bixford Ave,Diana Ward Bright,3,2021,0.51,7596.34,Multi,
1278 Edgehill Rd,,Industrial,Demolished,Northwest,Grandview,Columbus,OH,43212-3122,Franklin,1945,1,,6,,14614,,,,,0,,-,,,,,,,,,,,,,,Nationwide Realty Investors,Fenced Lot,,"13'0""",,"2/8'0""w x 10'0""h",,,,Masonry,,,,,,495046,,,,2.259986,39.985279,-83.02878,375 N Front St Suite # 200,"Columbus, OH 43215-2232",,6148572330,,,,,375 N Front St Suite # 200,"Columbus, OH 43215    ",,"NRI Equity Land Investments, LLC",6148572330,,Not Disclosed,,,,,,,,,,375 N Front St Suite # 200,"Columbus, OH 43215-2232",,Nationwide Realty Investors,6148572330,M,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,1/18/12 0:00,,,,1,,,,Multi,
4540 Edgewyn Ave,,Industrial,Existing,Northwest,Hilliard,Hilliard,OH,43026-1222,Franklin,1972,1,,18,1.13,15930,,,,,0,,-,100,,2021 Tax @ $1.51/sf,2021 Tax @ $1.51/sf,,,,,,,,,,PL & Jody Miller,Fenced Lot,,"14'0""",0,"2/9'0""w x 12'0""h",,Yes,,Masonry,,,,,,495255,,,,5,40.026739,-83.136513,7235 Davis Rd,"Hilliard, OH 43026-9454",Dwight Butler,6148761590,,,,,7235 Davis Rd,"Hilliard, OH 43026-9454",,PL & Jody Miller,6148761590,,$7.29 - 8.91 (Est.),,,,,,,,,,7235 Davis Rd,"Hilliard, OH 43026-9454",Dwight Butler,PL & Jody Miller,6148761590,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,2,2021,1.51,24005.7,Single,
2501-2509 Englewood Dr,,Industrial,Demolished,Northeast,Airport,Columbus,OH,43219-1709,Franklin,1970,1,,24,1.65,14542,,,,,0,,-,,2700,,,,,,,,,,,,Columbus Regional Airport Authority,,,"14'0""",,"4/10'0""w x 12'0""h",,,,Masonry,,,,,,495872,,,,1,40.009535,-82.902914,4600 International Gateway,"Columbus, OH 43219    ",,6142379224,,,,,4600 International Gateway,"Columbus, OH 43219    ",,Columbus Regional Airport Authority,6142379224,,Not Disclosed,,,,,,,,,,,,,,,"CC, Franklin County",,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,12/19/10 0:00,,,,3,,,,Multi,
2525 English Rd,Roehrenbeck Electric,Industrial,Existing,Southeast,Downtown South,Columbus,OH,43207-2840,Franklin,1973,1,,28,3,15800,,,,,0,,-,100,,2021 Tax @ $1.50/sf,2021 Tax @ $1.50/sf,,,Ditter & Associates Real Estate,"Columbus, OH 43207-2840",6144033691,,Ronald Roehrenbeck,Ditter & Associates Real Estate,,Ronald J Roehrenbeck,Security System,120a/208v,"18'0""",1,"6/9'0""w x 11'0""h",,None,,Masonry,Norfolk Southern,Gas,Septic Field,City,Natural,903706,,,,8.77,39.9178659,-82.946108,2525 English Rd,"Columbus, OH 43207    ",Ronald Roehrenbeck,6148617621,2525 English Rd,"Columbus, OH 43207-2840",Ronald Roehrenbeck,6144033691,2525 English Rd,"Columbus, OH 43207    ",,Ronald J Roehrenbeck,6148617621,,$4.65 - 5.68 (Est.),,,,,,,,,,2525 English Rd,"Columbus, OH 43207    ",Ronald Roehrenbeck,Ronald J Roehrenbeck,6148617621,Industrial,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,2525 English Rd,Ronald Roehrenbeck,2,2021,1.5,23727.04,Multi,
6129 Enterprise Pky,,Industrial,Existing,Southwest,SW Columbus,Grove City,OH,43123-9306,Franklin,1989,1,2005,28,2.71,14140,,,,,0,,-,100,,2021 Tax @ $2.52/sf,2021 Tax @ $2.52/sf,,,Grove City Cabinet Co Inc,"Canton, GA 30114",6142660665,,Andy Jacobs,,,"Grove City Cabinet Co, Inc.",,800a/3v 3p,"12'0""",,"5/9'0""w x 12'0""h",,,,,,,,,,495616,,,Grove City Industrial Pk,2,39.838089,-83.090274,6129 Enterprise Pky,"Grove City, OH 43123-9306",Donald Atkinson,6148755515,,,,,,,,,,,$10.09 - 12.33 (Est.),,,,,,,,,,6129 Enterprise Pky,"Grove City, OH 43123-9306",Donald Atkinson,"Grove City Cabinet Co, Inc.",6148755515,Light Industrial,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,309 River Green Ave,Andy Jacobs,2,2021,2.52,35630.12,Multi,
6137-6149 Enterprise Pky,,Industrial,Existing,Southwest,SW Columbus,Grove City,OH,43123-9539,Franklin,1989,1,,12,0.83,15783,,,,,0,,-,100,,2021 Tax @ $2.26/sf,2021 Tax @ $2.26/sf,,,Wagenbrenner - Star King Apartments,"Columbus, OH 43212-1553",6149024661,,Jeff Wagenbrenner,,,Grove City Cabinet Co Inc,,220a/240v,"18'0""",,"7/12'0""w x 14'0""h",,None,,Masonry,,,,,,6338008,,,,2.07,39.8377534,-83.0899928,309 River Green Ave,"Canton, GA 30114",,6142660665,,,,,309 River Green Ave,"Canton, GA 30114",,Grove City Cabinet Co Inc,6142660665,,$6.93 - 8.48 (Est.),,,,,,,,,,309 River Green Ave,"Canton, GA 30114",,Grove City Cabinet Co Inc,6142660665,Slight Industrial,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,1800-1806 North Star Rd Suite # 300,Jeff Wagenbrenner,2,2021,2.26,35630.12,Multi,
1237 Essex Ave,,Industrial,Existing,Northeast,N Central Columbus,Columbus,OH,43201,Franklin,1920,1,,4,0.26,14917,,,,,0,,-,100,,2021 Tax @ $0.31/sf,2021 Tax @ $0.31/sf,,,,,,,,,,Star Beacon Products Company,Fenced Lot,,,,"2/9'0""w x 11'0""h",,,,Masonry,,,,,,7348909,,,,1,39.9897061,-82.9883061,1104 Goodale Blvd,"Columbus, OH 43212-3726",Brian Maloney,6142944657,,,,,1225 Madison Ave,"Columbus, OH 43205-1413",,1237 Llc,,,$6.45 - 7.88 (Est.),,,,,,,,,,1104 Goodale Blvd,"Columbus, OH 43212-3726",Brian Maloney,Star Beacon Products Company,6142944657,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,2/28/11 0:00,40000,,,1,2021,0.31,4558.78,Multi,
1391 Essex Ave,,Industrial,Existing,Northeast,N Central Columbus,Columbus,OH,43211-2604,Franklin,1986,1,,6,0.52,13568,,,,,0,,-,100,,2021 Tax @ $0.64/sf,2021 Tax @ $0.64/sf,,,,,,,,,,Sony Decorating Co,,,"12'0""",1,"4/10'0""w x 8'0""h",,None,,Masonry,,,,,,705616,,,,0.54,39.992921,-82.987898,6219 Moundview Pl,"Grove City, OH 43123    ",David Sony,6148759375,,,,,6219 Moundview Pl,"Grove City, OH 43123    ",,Sony Decorating Co,6148759375,,$3.94 - 4.82 (Est.),,,,,,,,,,6219 Moundview Pl,"Grove City, OH 43123    ",David Sony,Sony Decorating Co,6148759375,"M, Columbus",,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,1/23/03 0:00,145500,,,2,2021,0.64,8670.18,Multi,
8495 Estates Ct,,Industrial,Existing,Union County,Union County,Plain City,OH,43064-8015,Union,2009,1,,13,2.92,13679,,,,,0,,-,100,,2021 Tax @ $0.60/sf,2021 Tax @ $0.60/sf,,,RJ Boll Realty,"Dublin, OH 43017-1592",6147992100,6147992112,Keith Joseph,,,Thomas Moran,,400a/480v,"16'0""",,5,,,,,,,,,,11075823,,,,1.48,40.1258552,-83.2132557,8495 Estates Ct,"Plain City, OH 43064-8015",Thomas Moran,6148890476,,,,,,,,Moran Investments LLC,,,$5.38 - 6.58 (Est.),,,,,,,,,,8495 Estates Ct,"Plain City, OH 43064-8015",Thomas Moran,Thomas Moran,6148890476,Industrial,,B,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,6/18/19 0:00,1200000,5880 Sawmill Rd Suite # 150,Keith Joseph,3,2021,0.6,8219.94,,
771 S Ewing St,,Industrial,Existing,Fairfield County,Fairfield County,Lancaster,OH,43130,Fairfield,1997,1,,17,1.3,13032,,,,,0,,-,100,,,,,,,"Lancaster, OH 43130    ",,,,,,City of Lancaster,Fenced Lot,,,1,"3/9'0""w x 14'0""h",,,,Masonry,,,,,,7573283,,,,4.62,39.7027156,-82.5785002,104 E Main St,"Lancaster, OH 43130    ",,7406815077,,,,,104 E Main St,"Lancaster, OH 43130    ",,City of Lancaster,7406815077,,$5.18 - 6.15 (Est.),,,,,,,,,,104 E Main St,"Lancaster, OH 43130    ",,City of Lancaster,7406815077,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,10/5/17 0:00,,603 West Wheeling St,,2,,,,Multi,
430 W Fair Ave,,Industrial,Existing,Fairfield County,Fairfield County,Lancaster,OH,43130,Fairfield,1952,2,,6,,12889,,,,,0,,-,100,,2021 Tax @ $1.07/sf,2021 Tax @ $1.07/sf,,,,,,,,,,Mithoff Companies Ltd,Signage,,,,"2/8'0""w x 10'0""h",,,,Masonry,,,,,,8400349,,,,2.009986,39.723802,-82.6094529,4805 Scooby Ln,"Carroll, OH 43112",,,,,,,4805 Scooby Ln,"Carroll, OH 43112",,Mithoff Companies Ltd,,,$6.39 - 7.81 (Est.),,,,,,,,,,,,,,,,,C,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,100-year Floodplain,,,9/26/17 0:00,,,,2,2021,1.07,13849.54,Single,
2080-2090 Fairwood Ave,,Industrial,Existing,Southeast,Downtown South,Columbus,OH,43207-1735,Franklin,1975,1,,28,1.88,14892,,,,,0,,-,100,1950,2021 Tax @ $0.85/sf,2021 Tax @ $0.85/sf,,Modified Gross,NAI Ohio Equities LLC,"Columbus, OH 43215",6146295217,6142245436,Mike Semon,Oscar L Thomas,Oscar L Thomas,Meg Shanklin,,480v 3p,"14'0""",2,"4/9'0""w x 12'0""h",,None,,Masonry,,Yes,City,City,Natural,494825,,,,1.7,39.923847,-82.955025,6030 Executive Blvd,"Huber Heights, OH 45424-1454",Meg Shanklin,9372366373,21 E State St,"Columbus, OH 43215-4281",Tommy Thomas,,6060 Executive Blvd,"Dayton, OH 45424-1454",,"Tiki Estates, LLC",9372366373,,$5.33 - 6.51 (Est.),,,,,,,,,,6030 Executive Blvd,"Huber Heights, OH 45424-1454",Meg Shanklin,Meg Shanklin,9372366373,M,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,8/27/15 0:00,442500,605 S Front St Suite # 200,Mike Semon,2,2021,0.85,12732.64,Multi,
1701 Feddern Ave,,Industrial,Existing,Southwest,SW Columbus,Grove City,OH,43123-1205,Franklin,1974,1,,14,1,14000,,,,,0,,-,100,,2021 Tax @ $0.82/sf,2021 Tax @ $0.82/sf,,,,,,,,,,Eichhorn LP,,,"14'0""",,3,,None,,Metal,,Gas,City,City,Natural,776080,,,,2.206979,39.912794,-83.040869,8865 Diley Rd,"Canal Winchester, OH 43110    ",,6148378898,,,,,8865 Diley Rd,"Canal Winchester, OH 43110    ",,Eichhorn LP,6148378898,,$6.95 - 8.50 (Est.),,,,,,,,,,,,,,,M,,C,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,100-year Floodplain,,,2/16/05 0:00,540000,,,2,2021,0.82,11511.08,Single,
1850 Federal Pky,,Industrial,Existing,Southeast,Downtown South,Columbus,OH,43207-5709,Franklin,1966,2,,60,4.72,12725,,,,,0,,-,100,,2021 Tax @ $0.69/sf,2021 Tax @ $0.69/sf,,,NAI Ohio Equities LLC,"Columbus, OH 43215",6146295217,6142245436,Mike Semon,,,Phoenix Recycling,,200-400a/3v,"13'0""",1,"4/40'0""w x 60'0""h",40'w x 60'd,Dry,,Masonry,,,,,,494861,,,Federal Industrial Park,7.5,39.9256555,-82.9790925,2055 Refugee Rd,"Columbus, OH 43207-1745",Abe Hooshiarnejad,6144434801,,,,,6065 Frantz Rd,"Dublin, OH 43017-3324",,Federal Parkway West Llc,,,$4.42 - 5.41 (Est.),,,,,,,,,,2055 Refugee Rd,"Columbus, OH 43207-1745",Abe Hooshiarnejad,Phoenix Recycling,6144434801,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,5/17/19 0:00,76682,605 S Front St Suite # 200,Mike Semon,1,2021,0.69,8801.98,Multi,
1416-1420 Fields Ave,,Industrial,Existing,Northeast,N Central Columbus,Columbus,OH,43211,Franklin,1965,1,,10,0.63,16000,,,,,0,,-,100,,,,,,,,,,,,,Comp Drug,Fenced Lot,,,,"3/9'0""w x 11'0""h",,,,Masonry,,,,,,6811208,,,,0.62,39.992669,-82.991321,547 E 11th Ave,"Columbus, OH 43211    ",,6142244506,,,,,547 E 11th Ave,"Columbus, OH 43211    ",,Comp Drug,6142244506,,$4.78 - 5.85 (Est.),,,,,,,,,,547 E 11th Ave,"Columbus, OH 43211    ",,Comp Drug,6142244506,Commercial,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,8/2/10 0:00,285000,,,1,,,,Single,
1434 Fields Ave,,Industrial,Existing,Northeast,N Central Columbus,Columbus,OH,43211-2635,Franklin,1985,1,,12,,13262,,,,,0,,-,100,1000,2021 Tax @ $0.92/sf,2021 Tax @ $0.92/sf,,,,,,,,,,Robert Berninger,,,"18'0""",3,"2/9'0""w x 11'0""h",,,,Masonry,,,,,,494889,,,,1,39.993304,-82.991288,7203 Fernbank Ave,"Cincinnati, OH 45201",Robert Berninger,5139416699,,,,,1434 Fields Ave,"Columbus, OH 43211-2635",,P/S Investments,,,$6.44 - 7.87 (Est.),,,,,,,,,,7203 Fernbank Ave,"Cincinnati, OH 45201",Robert Berninger,Robert Berninger,5139416699,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,,,,,2,2021,0.92,12208.44,Single,
1481 E Fifth Ave,,Industrial,Existing,Northeast,N Central Columbus,Columbus,OH,43219-2459,Franklin,1953,1,,8,,14000,,,,,0,,-,100,,2021 Tax @ $0.34/sf,2021 Tax @ $0.34/sf,,,,,,,,,,Dow Production Machinery,,,"14'0""",,"1/9'0""w x 11'0""h",,,,Masonry,,,,,,494916,,,,0.5,39.985174,-82.964946,1481 E 5th Ave,"Columbus, OH 43219-2459",Crystal Tantarelli,6148951241,,,,,7953 Harlem Rd,"Westerville, OH 43081-9357",,T E Carr,,,$6.51 - 7.95 (Est.),,,,,,,,,,1481 E 5th Ave,"Columbus, OH 43219-2459",Crystal Tantarelli,Dow Production Machinery,6148951241,,,C,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,100-year and 500-year Floodplain,,,9/9/15 0:00,12000,,,1,2021,0.34,4735.05,Single,
